Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.3389248421468277,1.0034297660678226,-0.5880739442958465,0,42 Coin
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.32225478922785356,1.0035697434197055,-0.5883891863129104,0,404Coin
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.302520777780505,1.6767540309006082,-0.6449898947018804,0,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.13879594783683893,-1.3047721629659386,0.17193192677717786,3,Bitcoin
ETH,Ethash,PoW,107684222.6865,0.0,-0.14528748155842489,-2.004139324819248,0.4014439467956629,3,Ethereum
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.16691745798221455,-1.1441700431862685,-0.041854946306328925,3,Litecoin
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.38878681442015794,1.2559900503249382,-0.4589897163951597,0,Dash
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.14480884504345673,-2.2143199899253445,0.34922783299392257,3,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.14372941142193965,-2.004241282852347,0.4014248472459102,3,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.1654199693501514,-2.1064671315127197,0.43613152848133135,3,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.2428214929038099,1.671991810559601,-0.13308486308876474,0,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.1809905839525489,-1.8150438275195828,0.345144679296487,3,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.3096335566115286,0.8428032541144437,-0.37430610988815793,0,BitcoinDark
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.2608604091535262,0.6566575133883444,-0.04165832394680766,0,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.16806415207557762,-1.1441607193145706,-0.04183496907450342,3,ProsperCoin
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.25657232374903644,1.8623554936086713,-0.6068914622071996,0,KoboCoin
SPR,X11,PoW,11149733.9976203,20000000.0,-0.21813378723148077,-0.8915904270157,0.08725212709714217,3,Spreadcoin
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.16768063202919545,-1.1441795777863206,-0.041840232505327084,3,Argentum
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.33858428475898944,1.003428390771708,-0.588080002921151,0,Aurora Coin
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.3311573493334718,1.003672914828546,-0.5882368630535418,0,BlueCoin
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.07249413728669081,-1.8093411982333674,0.34923270293848485,3,MyriadCoin
MOON,Scrypt,PoW,88.0,384000000000.0,2.5538968982708403,-1.3345612716923019,-0.074095756017382,3,MoonCoin
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.13587968029976455,-1.3047876743849542,0.17188038189671573,3,ZetaCoin
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.16493509213562738,-1.1442271376229647,-0.0418857905695327,3,SexCoin
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.16748469012210893,-1.1441992837238404,-0.04184201426067935,3,Quatloo
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.33742050935771406,1.003476856789498,-0.588105496825352,0,EnergyCoin
QRK,Quark,PoW,259557164.91477,247000000.0,-0.22099102020099828,-0.42721441879655264,0.0845525670170546,3,QuarkCoin
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.20662110588449484,-1.2342395143314682,0.06841120220614605,3,Riecoin
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.16753327358983033,-1.1441635998612971,-0.04184434720358147,3,Digitalcoin 
BTB,Scrypt,PoW/PoS,42579.476901,500000.0,-0.33892077795586883,1.0034295344377973,-0.5880739972091213,0,BitBar
CAT,Scrypt,PoW,7219956.64626131,21000000.0,-0.16804640698278236,-1.1441601638332988,-0.04183534126775736,3,Catcoin
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.3389050516669623,1.0034296678406374,-0.5880742947255677,0,CryptoBullion
CCN,Scrypt,PoW,4703879.51824446,13140000.0,-0.16813288342487803,-1.1441572291959936,-0.04183403575671713,3,CannaCoin
CRYPT,X11,PoW,4996986.20575291,18000000.0,-0.21822317713948558,-0.8915917896891616,0.0872538726655828,3,CryptCoin
CSC,Scrypt,PoC,39999997299.8568,40000000000.0,0.6663948505464898,0.4363534453714964,-0.33201593234325333,0,CasinoCoin
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.3783921352265142,0.9133645498405164,-0.4778124699525765,0,Diamond
XVG,Multiple,PoW,15929530669.1206,16555000000.0,0.2047733993996331,-1.811108874761875,0.34435840305190046,3,Verge
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.23919903896075362,-1.307997660023298,0.16536034711133635,3,DevCoin
EAC,Scrypt,PoW,12539015186.822,13500000000.0,0.08069646187955026,-1.1460484423559791,-0.046180934211004124,3,EarthCoin
EFL,Scrypt,PoW,20910478.8062499,21000000.0,-0.16787905249140436,-1.1441549250731076,-0.041838851433267654,3,E-Gulden
EMC2,Scrypt,PoW,218871896.499999,299792458.0,-0.1634827867789325,-1.1442174149049091,-0.04191303191743483,3,Einsteinium
EMD,Scrypt,PoW,19496786.31025,32000000.0,-0.1678183545014447,-1.1441609204485474,-0.04183941320125912,3,Emerald
EXCL,PoS,PoS,5679705.0,0.0,-0.3458210487790364,1.626343011588521,-0.0436403101413455,0,Exclusive Coin
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0.0,-0.25902522676120915,0.35018385667916985,-0.371736841672152,0,FlutterCoin
FRK,Scrypt,PoW,1142732.14912776,11235813.0,-0.16818991409672426,-1.144157647687517,-0.04183296270894936,3,Franko
FTC,NeoScrypt,PoW,208669093.00773,336000000.0,-0.1739421901292288,-1.605651160273918,0.21637132964499659,3,FeatherCoin
GDC,Scrypt,PoW,884125802.0,1420609614.0,-0.14740516204118417,-1.1445186155885616,-0.04217777099895737,3,GrandCoin
GLC,Scrypt,PoW,65672720.4708748,70000000.0,-0.16698451222095956,-1.1441620934845054,-0.04185444522087339,3,GlobalCoin
GLD,Scrypt,PoW,41658647.9999715,72245700.0,-0.167262143165791,-1.1441723961571064,-0.04184847684644774,3,GoldCoin
HBN,Scrypt,PoW/PoS,89266933.684704,120000000.0,-0.3369829524792172,1.0034044218617693,-0.5881069142826899,0,HoboNickels
HYP,X11,PoS,1678520090.7713,0.0,-0.31982513686385944,1.070485250778296,-0.1267661817574682,0,HyperStake
IFC,Scrypt,PoW,90595753018.6314,90600000000.0,1.5814336435602254,-1.1544100732117764,-0.07267221308320707,3,Infinite Coin
IOC,X11,PoW/PoS,17650913.9743456,22000000.0,-0.3886814472152441,1.2559933486739334,-0.4589919264125024,0,IOCoin
IXC,SHA-256,PoW,21089348.999,21000000.0,-0.13875729306421142,-1.3047709529411438,0.17193111601525288,3,IXcoin
KGC,Scrypt,PoW,151447649.8,265420800.0,-0.16455064947692694,-1.1442261717984983,-0.04189285681803884,3,KrugerCoin
LKY,Scrypt,PoW,19326319.14375,20000000.0,-0.1679055064498374,-1.1441550354051373,-0.04183836124358074,3,LuckyCoin
LTB,Scrypt,PoW,1104344.22938102,1350000.0,-0.16826046399742692,-1.1441527604358002,-0.04183212225149628,3,Litebar 
MAX,SHA3,PoW/PoS,61445805.0,100000000.0,-0.44356142971780754,1.8579105014743813,-0.7050921259007366,0,MaxCoin
MEC,Scrypt,PoW,38151999.9930997,42000000.0,-0.16751942094395947,-1.1441587404808589,-0.04184503649220272,3,MegaCoin
MED,HybridScryptHash256,PoW,40431856.9,200000000.0,-0.13730362097572318,-2.2024669618458343,0.44637577032092596,3,MediterraneanCoin
MINT,Scrypt,PoS,21293925445.4969,0.0,-0.029915873887523457,0.8254234657534466,-0.2608838427199809,0,MintCoin
MINC,Scrypt,PoW,5804204.88794916,10000000.0,-0.16814169241933674,-1.1441552511616273,-0.04183405404769644,3,MinCoin
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000.0,-0.272927818322434,0.8422316386191212,-0.3749209719931694,0,MazaCoin
NAUT,Scrypt,PoS,16180000.0,16180000.0,-0.2899027406691038,0.8172733862386665,-0.2554297193758474,0,Nautilus Coin
NAV,X13,PoW/PoS,66087096.2077108,0.0,-0.28166502159730467,1.8213531735177986,-0.6111038269158564,0,NavCoin
NOBL,Scrypt,PoW,2366066305.76482,15000000000.0,-0.033025298565953626,-1.1506849663037304,-0.043698684179819876,3,NobleCoin
NMC,SHA-256,PoW,14736400.0,21000000.0,-0.13883495223133838,-1.304773383935077,0.1719327448722245,3,Namecoin
NYAN,Scrypt,PoW,334709223.483138,337000000.0,-0.1618030134972981,-1.1441915386470753,-0.04194585810581814,3,NyanCoin
OPAL,X13,PoW/PoS,15156364.3306548,0.0,-0.2822876046243935,1.8213336845686152,-0.6110907685900772,0,OpalCoin
ORB,NeoScrypt,PoW/PoS,3220616.279225,3770000.0,-0.349450107016242,0.5420172416098282,-0.32979029896935097,0,Orbitcoin
POT,Scrypt,PoW/PoS,222677226.014206,420000000.0,-0.3332254265144314,1.0033067152658153,-0.5881663261331534,0,PotCoin
PXC,Scrypt,PoW/PoS,73959274.625,98000000.0,-0.33732603328882554,1.0034094731295709,-0.5881011410331742,0,PhoenixCoin
RDD,Scrypt,PoW/PoS,29315567169.0888,0.0,0.019431965913607914,1.0146475431938198,-0.5955902750387716,0,Reddcoin
RPC,Scrypt,PoW,1104157.42169891,21000000.0,-0.16812116720424322,-1.1441625040804522,-0.04183377321452641,3,RonPaulCoin
SBC,Scrypt,PoW,24215181.725,250000000.0,-0.16621527178670298,-1.1442672115650396,-0.04185893952764394,3,StableCoin
SMC,Scrypt,PoW,25593737.1355044,51200000.0,-0.1676077156633994,-1.1441681078517518,-0.04184258962339258,3,SmartCoin
SUPER,X11,PoS,50707661.7493518,0.0,-0.33972370011324793,1.0698623586159635,-0.12634882068249115,0,SuperCoin
SYNC,X11,PoW/PoS,1177.0,1000.0,-0.389053150761175,1.2559975032357553,-0.4589855527526641,0,SyncCoin
SYS,SHA-256,PoW,563336541.299966,888000000.0,-0.125982629049219,-1.3049933660838637,0.1717192410459349,3,SysCoin
TES,Multiple,PoS,80260463.7331396,100000000.0,-0.22755125036367088,0.15241335142541698,0.136212136579954,0,TeslaCoin
TGC,SHA-256,PoW,43536800.0,47011968.0,-0.13829849374290593,-1.3047752614838242,0.17192317507787283,3,TigerCoin
TIT,PHI1612,PoS,1622326490.46336,2300000000.0,-0.3224025172294743,1.7098198895829104,-0.13481609621945104,0,TittieCoin
TOR,X11,PoW/PoS,1431851.00002479,10000000.0,-0.38896477901400067,1.255993092626166,-0.45898675969376246,0,TorCoin
TRC,SHA-256,PoW,22935396.0,42000000.0,-0.13858585753455066,-1.3047806595191758,0.17192887826102063,3,TerraCoin
UNB,SHA-256,PoW,2278150.0,80000000.0,-0.13856899160765132,-1.3048074066712696,0.1719309818569222,3,UnbreakableCoin
UNO,SHA-256,PoW,200911.79151896,250000.0,-0.13915973267269952,-1.304768657011656,0.17193821511575236,3,Unobtanium
URO,X11,PoW,1207310.0,0.0,-0.21839710477776628,-0.8915843144208925,0.0872563566916281,3,UroCoin
USDE,Scrypt,PoW/PoS,1098952592.6,1600000000.0,-0.3141487037043316,1.0030569170297872,-0.5884901424133674,0,UnitaryStatus Dollar
UTC,Scrypt,PoW/PoS,50235211.141939,100000000.0,-0.33760186090112265,1.0033994032624978,-0.5880952263713275,0,UltraCoin
VIA,Scrypt,PoW,23150892.1679687,23000000.0,-0.16783748740198617,-1.1441550594778165,-0.041839593903271036,3,ViaCoin
VRC,Scrypt,PoST,32021108.4136696,0.0,-0.3126074950034956,0.3647102195781498,-0.266262469482848,0,VeriCoin
VTC,Lyra2REv2,PoW,51173723.8166347,84000000.0,-0.19753500416615477,-1.2301274427909,0.20016603394889113,3,Vertcoin
WDC,Scrypt,PoW,119606941.0,265420800.0,-0.16493987390270604,-1.144238355836168,-0.04188469305652929,3,WorldCoin
XC,X11,PoW/PoS,6950831.0970606,5500000.0,-0.3889292149289848,1.2559974358495447,-0.4589877966321423,0,X11 Coin
XCR,Multiple,PoS,100000000.0,0.0,-0.22801885319356738,0.1524704904911284,0.1362154775757345,0,Crypti
XJO,SHA-256,PoW,39195739.362088,45000000.0,-0.13836582222351632,-1.304775924969954,0.17192445714645427,3,JouleCoin
XST,X13,PoW/PoS,33093725.4123502,0.0,-0.2820683362936892,1.8213405484071215,-0.6110953676189146,0,StealthCoin
ZCC,Scrypt,PoW/PoS,147990237.978331,1000000000.0,-0.3300267820111686,1.0029905392813896,-0.5881959089788265,0,ZCC Coin
BCN,CryptoNight,PoW,184066828814.0,184467440735.0,3.860995405240721,-2.307022973949476,0.35206856266317144,3,ByteCoin
XDN,CryptoNight,PoW,6906587610.38292,10000000000.0,0.45856687814436525,-2.2883036480087964,0.4121502702460755,3,DigitalNote 
BURST,Shabal256,PoC,1813033920.0,2158812800.0,0.017625931779929428,0.8839330138692673,-0.1401186890404325,0,BurstCoin
SJCX,Counterparty,PoS,51173144.0,500000000.0,-0.34973894384561705,1.5391643312547858,-0.05305834867269682,0,StorjCoin
MONA,Scrypt,PoW,68194674.8711679,105120000.0,-0.16670471747986887,-1.1441785429112385,-0.04185804264887916,3,MonaCoin
NTRN,SHA-256,PoW/PoS,39121694.0,68000000.0,-0.3088449892632062,0.8427949216914145,-0.3743196749550932,0,Neutron
FAIR,Groestl,PoW/PoS,53193831.0,0.0,-0.3778133321222998,0.9133858121460106,-0.4778248932611344,0,FairCoin
NLG,Scrypt,PoW,415032420.0,1680000000.0,-0.15130059116104286,-1.1448267372927454,-0.04207929256359494,3,Gulden
RBY,Scrypt,PoS,27184490.3918338,0.0,-0.2898829207405704,0.8172856201250955,-0.25543118140100485,0,RubyCoin
PTC,Scrypt,PoW,137517654.41397,166386000.0,-0.16542299015607154,-1.1441823951808072,-0.041880964258824954,3,PesetaCoin
KORE,X13,PoW/PoS,2022464.886973,12000000.0,-0.28236308675826105,1.8213227085297445,-0.6110884093901483,0,Kore
WBB,Scrypt,PoW,181919.2435974,2628000.0,-0.16826268006803902,-1.1441537471113865,-0.04183199312614035,3,Wild Beast Coin
NOTE,Scrypt,PoS,174646113.934655,500000000.0,-0.28453582740592304,0.8170941191268921,-0.25551100010865396,0,Dnotes
FLO,Scrypt,PoW,152270664.860648,160000000.0,-0.16528791811539034,-1.1441735833158022,-0.041884210282238224,3,Flo
8BIT,Scrypt,PoW/PoS,1467841.0,0.0,-0.3389068999035727,1.0034303277507142,-0.588074320626936,0,8BIT Coin
STV,X13,PoW/PoS,7096834.0,10000000.0,-0.2823152351193547,1.8213256419797197,-0.6110895423852919,0,Sativa Coin
ABY,Scrypt,PoW,792537250.0,1000000000.0,-0.15150645726721318,-1.1443451006357688,-0.04211894825517782,3,ArtByte
FLDC,Stanford Folding,PoW,719416990.0,1000000000.0,-0.13972989405651676,-2.2254368757407526,0.3973131755710332,3,Folding Coin
U,X11,PoS,2689812.0,20000000.0,-0.3401688955089595,1.0698340671757312,-0.12633818961998394,0,Ucoin
UIS,Multiple,PoW,65113302.0,0.0,-0.10651361890174642,-1.8089705905437115,0.3498169080990928,3,Unitus
CYP,QuBit,PoW,6365285.0,0.0,-0.17618179545786386,-1.5419089309604141,0.19132752705240147,3,CypherPunkCoin
OMC,Scrypt,PoW,10140044.4430293,3371337.0,-0.1681356812946968,-1.144150305163433,-0.04183460878392482,3,OmniCron
VTR,Scrypt,PoW/PoS,11604722.0,20000000.0,-0.3386412052928956,1.0034242895660421,-0.5880786000789994,0,Vtorrent
GRE,Scrypt,PoW,4610340640.89,10000000000.0,-0.04103609294532749,-1.1473469006012256,-0.04385399772697181,3,GreenCoin
XCN,M7 POW,PoW,708506520.0,1840000000.0,-0.12661550261304888,-2.2594153371290444,0.31036132390348087,3,Cryptonite
MSC,Scrypt,PoW,619478.0,619478.0,-0.16827156973594415,-1.1441525837389432,-0.04183193655565824,3,MasterCoin
SOON,SHA-256,PoW,12462620.0,21000000.0,-0.13886274717523886,-1.3047742540105933,0.1719333278554038,3,SoonCoin
1CR,Scrypt,PoW,88213.0,92000000000.0,0.48390660612452496,-1.1897712448230457,-0.049561672223979746,3,1Credit
ISL,X11,PoW/PoS,1513704.0,0.0,-0.38903466854906105,1.2559980825091148,-0.4589859404712444,0,IslaCoin
NXS,SHA3,PoW/nPoS,63657220.0,78000000.0,-0.47881518232695036,1.8488336893564967,-0.6517902678747794,0,Nexus
MARS,X11,PoW,32221574.820996,33000000.0,-0.21778404551587507,-0.8915888098796045,0.08724563213515606,3,MarsCoin 
CTO,Lyra2RE,PoW,13742738.0,65789100.0,-0.15487053922599095,-2.2437730430021214,0.42948937737884185,3,Crypto
ACP,SHA-256,PoW,14747200.0002,53760000.0,-0.13860258419289573,-1.3047896240495687,0.1719299895780846,3,Anarchists Prime
DRZ,QUAIT,PoW/PoS,8568038.35935056,5060000.0,-0.4384173955269394,1.8933522378735714,-0.7702542043939855,0,Droidz
BSC,X11,PoW,15863837.5,21000000.0,-0.21806907248553045,-0.8915891189919397,0.08725083440914383,3,BowsCoin
SQL,X11,PoS/PoW,329200.01639,0.0,-0.3942710805335167,0.7294063132111641,-0.10228264613125519,0,Squall Coin
SONG,Scrypt,PoW,32565300.0,210240000.0,-0.16639505809524407,-1.1442443011021743,-0.04185773977503726,3,Song Coin
ZNY,Scrypt,PoW,75614500.0,250000000.0,-0.16558696070648524,-1.144247543308469,-0.04187211799608779,3,BitZeny
DIGS,Scrypt,PoS,100000000.0,100000000.0,-0.2882839145612715,0.8172638978012841,-0.25545825294015256,0,Diggits
EXP,Ethash,PoW,10495278.0,16906397.0,-0.14635568056760803,-2.0041848978910117,0.4014674449512307,3,Expanse
CON,X13,PoW/PoS,23042604.0,50000000.0,-0.2818367517617349,1.8213119094783488,-0.6110969916189418,0,Paycon
SC,Blake2b,PoW,33098296530.0,0.0,0.36880876349673436,-2.1255286305067207,0.3721839384633068,3,Siacoin
EMC,SHA-256,PoW/PoS,43059794.804778,1000000000.0,-0.3021898907191673,0.8423342907059077,-0.37439899215012246,0,Emercoin
EGC,X15,PoW/PoS,13530556.4180753,26298000.0,-0.25901388675425774,1.8625114067775217,-0.606861184672418,0,EverGreenCoin
MND,X11,PoW,15867695.0,16000000.0,-0.2181044703887092,-0.8915866382351392,0.08725125352466616,3,MindCoin
I0C,SHA-256,PoW,20997476.8650231,21000000.0,-0.13875841611956852,-1.3047709880965648,0.17193113957070194,3,I0coin
DCR,BLAKE256,PoW/PoS,10365046.9281661,21000000.0,-0.05574634320520161,0.898249918186276,-0.5765011910203145,0,Decred
RVR,Scrypt,PoW,210000000.0,210000000.0,-0.16422777761610202,-1.144176285647463,-0.04190321277361017,3,Revolution VR
HODL,1GB AES Pattern Search,PoW,11448949.0,81962100.0,-0.1603746900208211,-2.2376608935275004,0.3537930900807212,3,HOdlcoin
EDRC,SHA-256,PoW/PoS,3669691.84494672,22000000.0,-0.30960445307821555,0.8428041651532244,-0.3743067203182578,0,EDRCoin
HTC,X11,PoW/PoS,10996318099.0,26550000000.0,-0.0664196796737409,1.2470403296322918,-0.4640356957809817,0,Hitcoin
GAME,Scrypt,PoW,69836100.0,84000000.0,-0.16683437243714158,-1.144167442328399,-0.04185668897849895,3,Gamecredits
DBIC,SHA-256,PoW/PoS,5129014.0,10500000.0,-0.3096681377918312,0.8428104259171966,-0.37430612823897347,0,DubaiCoin
DIEM,SHA-256,PoW,21739971929.0,21626280000.0,0.27989686337589703,-1.307173203379876,0.16454723303425725,3,CarpeDiemCoin
PWR,NIST5,PoW/PoS,10069449031.9252,0.0,-0.23997721322014398,1.506202374503553,-0.590655323347876,0,PWR Coin
BLRY,Scrypt,PoW/PoS,8998743.2411911,42000000.0,-0.33851710281813924,1.0034123835375826,-0.5880797803821758,0,BillaryCoin
GPU,Scrypt,PoS,40477042.0,221052632.0,-0.2881533864272505,0.8171810962944316,-0.2554531625731227,0,GPU Coin
ADZ,X11,PoW,45110324.0,84000000.0,-0.21726495239961252,-0.891609166585827,0.08723804247277037,3,Adzcoin
SOIL,Dagger,PoW,5702048.0,30000000.0,-0.15735371263101228,-2.1820142436056025,0.43766937572244413,3,SoilCoin
YOC,Scrypt,PoW,636462.55983338,168351300.0,-0.16708230929314347,-1.1442357480936658,-0.04184603389109899,3,YoCoin
SIB,X11GOST,PoW,17263355.0,24000000.0,-0.13007536247209597,-2.166682192843068,0.32236090549909724,3,SibCoin
ERC,X11,PoW/PoS,10407269.7881868,384000000.0,-0.38620377216395463,1.2558110769271467,-0.45902048475702223,0,EuropeCoin
ZEIT,Scrypt,PoS,36971236046.8073,99000000000.0,0.8635374864806958,0.7823327244743286,-0.27322147885910236,0,ZeitCoin
SWING,SHA-256,PoW/PoS,4377081.60953993,40000000.0,-0.3094682036580198,0.8427955104296124,-0.37430841406505516,0,SwingCoin
SAFEX,Scrypt,PoC,2147483647.0,2147483647.0,-0.06465548293899093,0.4406383572993397,-0.3191303781624054,0,SafeExchangeCoin
NEBU,PoS,PoS,20000000.0,20000000.0,-0.34550421564244976,1.6263385742122383,-0.04364566219497702,0,Nebuchadnezzar
FRN,Scrypt,PoW,6570807.65677618,20000000.0,-0.16806143126499212,-1.1441599163779015,-0.04183509080904472,3,Francs
BOLI,X11,PoW,13654082.4987998,25000000.0,-0.2180677287344478,-0.891591947992471,0.08725106489305878,3,BolivarCoin
XRA,X11,PoW/PoS,134554941.15119,75000000.0,-0.3868766815527991,1.2560118023236968,-0.45902635299296984,0,Ratecoin
REV,SHA-256,PoW/PoS,1195525.0,222725000.0,-0.30821175573240206,0.8427036876745972,-0.37432295105474545,0,Revenu
CKC,SHA-256,PoW/PoS,16662820.0,525000000.0,-0.30587985080590285,0.8425597214125473,-0.37435231419512394,0,Clockcoin
VIP,NIST5,PoW/PoS,83450403.0,90000000.0,-0.3614091789082295,1.5023365453466706,-0.5881025367228819,0,VIP Tokens
BSD,X11,PoW/PoS,24387724.5010828,139000000.0,-0.3877696813313186,1.2559379113862879,-0.4590034841359415,0,BitSend
OMNI,Scrypt,PoW,616448.0,616448.0,-0.16827162825471179,-1.1441525833959467,-0.0418319355242016,3,Omni
LIR,POS 3.0,PoS,38589808.6658096,33500000.0,-0.36714046367947495,1.5021837115540528,-0.01744741562490809,0,Let it Ride
PUT,Scrypt,PoW/PoS,813092338.575672,2000000000.0,-0.314807487166717,1.002749188437414,-0.5884504579708401,0,PutinCoin
IBANK,Scrypt,PoW/PoS,4526324.0,44333333.0,-0.3385552331522443,1.0034095151421125,-0.5880788297302117,0,iBankCoin
FRWC,Scrypt,PoW/PoS,100000000.0,100000000.0,-0.3369935304933744,1.00341844605661,-0.5881079857565019,0,Frankywillcoin
MUDRA,X13,PoS,5000000.0,200000000.0,-0.23228433893081918,1.6350760786915468,-0.27845523592696203,0,MudraCoin
PIZZA,X11,PoW,1377917.0,25000000.0,-0.2182177939700257,-0.8915966455406263,0.08725421242623749,3,PizzaCoin
